experiment algorithm attack_edges_type n base_attack_edges_per_sybil attacked_attack_edges_per_sybil AUC AUC_std AUC_0 AUC_1 AUC_2 AUC_3 AUC_4 accuracy accuracy_std accuracy_0 accuracy_1 accuracy_2 accuracy_3 accuracy_4 F1 F1_std F1_0 F1_1 F1_2 F1_3 F1_4
power-law SybilGAT_L2  2000 8 8 0.7087382 0.025690182098615028 0.7320745 0.717686 0.723336 0.6591895 0.7114050000000001 0.5298947368421053 0.02633136381241212 0.5594736842105263 0.5257894736842105 0.5010526315789474 0.5021052631578947 0.5610526315789474 0.13934649392232284 0.1213405701211924 0.25334522747546834 0.13282001924927817 0.004201680672268907 0.008385744234800839 0.29797979797979796
power-law SybilGAT_L4  2000 8 8 0.7146747999999998 0.03807562472974021 0.7472395000000001 0.7322555000000001 0.726041 0.6399974999999999 0.7278404999999999 0.5837894736842106 0.04928789302548818 0.6321052631578947 0.6268421052631579 0.55 0.5042105263157894 0.6057894736842105 0.3439117079439009 0.19241370738207997 0.5175983436853002 0.5186693822131704 0.21631530705774518 0.0288659793814433 0.43810952738184544
power-law SybilGAT_L8  2000 8 8 0.6835887999999999 0.05024687467753593 0.731143 0.7116505000000001 0.6883459999999999 0.587178 0.6996264999999999 0.5993684210526316 0.03233035845087905 0.6036842105263158 0.6421052631578947 0.6157894736842106 0.5442105263157895 0.5910526315789474 0.5279719731073302 0.08350521363204302 0.4176334106728538 0.6371398078975453 0.5755813953488372 0.5656970912738215 0.44380816034359344
power-law SybilRank  2000 8 8 0.5730776000000001 0.0510772266302704 0.6111530000000001 0.5750259999999999 0.6297800000000001 0.481716 0.567713 0.5479999999999999 0.03851739902564593 0.5652631578947368 0.5563157894736842 0.5968421052631578 0.48 0.541578947368421 0.5507397374100865 0.038310816778555586 0.5679916317991632 0.559330893883952 0.5993723849372385 0.48326359832635984 0.5437401781037192
power-law SybilBelief  2000 8 8 0.5230589 0.014224993013706527 0.495858 0.536651 0.529188 0.5300834999999999 0.523514 0.5 0.0 0.5 0.5 0.5 0.5 0.5 0.13333333333333333 0.26666666666666666 0.6666666666666666 0.0 0.0 0.0 0.0
power-law SybilSCAR  2000 8 8 0.6367338 0.030714644255794298 0.6775 0.656431 0.638007 0.5863750000000001 0.625356 0.5196842105263159 0.013095007612702301 0.5389473684210526 0.5205263157894737 0.5147368421052632 0.49894736842105264 0.5252631578947369 0.3156662653256942 0.17484247813064965 0.6498800959232613 0.16191352345906163 0.3220588235294118 0.2247557003257329 0.21972318339100347
barabasi-albert SybilGAT_L2  2000 8 8 0.7326033000000001 0.011339905641582736 0.744368 0.7337349999999999 0.7412445000000001 0.711918 0.731751 0.508842105263158 0.012282004943386155 0.5057894736842106 0.533157894736842 0.5010526315789474 0.5031578947368421 0.5010526315789474 0.04511652914717327 0.0612695157324197 0.03494347379239465 0.16556914393226718 0.004201680672268907 0.016666666666666666 0.004201680672268907
barabasi-albert SybilGAT_L4  2000 8 8 0.7787630999999999 0.011767342496927676 0.7919419999999999 0.7853590000000001 0.785991 0.7598604999999999 0.7706630000000001 0.5965263157894738 0.06188059272690175 0.6878947368421052 0.6126315789473684 0.5484210526315789 0.6236842105263158 0.51 0.37406347075976387 0.23399086914232328 0.7250811312007418 0.4195583596214511 0.20555555555555555 0.4769568397951719 0.04316546762589928
barabasi-albert SybilGAT_L8  2000 8 8 0.8273423000000001 0.014650544377599077 0.846286 0.8241785 0.839296 0.804072 0.822879 0.6970526315789474 0.046542031163454255 0.758421052631579 0.7247368421052631 0.6484210526315789 0.6373684210526316 0.7163157894736842 0.6471276346437398 0.12703208639011995 0.7468284611141754 0.7552643893308376 0.4947049924357035 0.4884929472902747 0.7503473830477073
barabasi-albert SybilRank  2000 8 8 0.6971084000000001 0.03698978911321338 0.744054 0.634735 0.723102 0.694601 0.6890499999999999 0.6430526315789474 0.03265262479215378 0.6863157894736842 0.5873684210526315 0.66 0.6463157894736842 0.6352631578947369 0.6428631100874387 0.03354575710141556 0.6869747899159664 0.5851851851851851 0.6596417281348789 0.6470588235294118 0.6354550236717517
barabasi-albert SybilBelief  2000 8 8 0.5108404999999999 0.015653461879086044 0.49612200000000006 0.49917500000000004 0.49913199999999996 0.52767 0.5321035000000001 0.5 0.0 0.5 0.5 0.5 0.5 0.5 0.4 0.3265986323710904 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.0 0.0
barabasi-albert SybilSCAR  2000 8 8 0.6713694 0.017234162881904106 0.67887 0.669032 0.7002520000000001 0.656537 0.652156 0.5551578947368421 0.02888778556976378 0.5663157894736842 0.5152631578947369 0.5394736842105263 0.5526315789473685 0.6021052631578947 0.5898066227147736 0.09807179453113735 0.6478632478632479 0.6605234058238113 0.6760459089226213 0.41460055096418735 0.55
