experiment algorithm attack_edges_type pretrain_social_network_type evaluate_social_network_type small_n large_n small_attack_edges_per_sybil large_attack_edges_per_sybil AUC AUC_std AUC_0 AUC_1 AUC_2 AUC_3 AUC_4 accuracy accuracy_std accuracy_0 accuracy_1 accuracy_2 accuracy_3 accuracy_4 F1 F1_std F1_0 F1_1 F1_2 F1_3 F1_4
power-law-random SybilGAT_L2 random "Power Law" "Power Law" 2000 20000 8 8 0.740193888 0.005659963782531329 0.751077375 0.74028143 0.73564387 0.7374309549999999 0.73653581 0.5642947368421052 0.032111761206078865 0.576 0.5659473684210526 0.5394736842105263 0.5234736842105263 0.616578947368421 0.27878438476575357 0.1391979947712205 0.3225697948200471 0.29446488151253314 0.17296786389413987 0.09892515923566879 0.504994224366379
power-law-random SybilGAT_L4 random "Power Law" "Power Law" 2000 20000 8 8 0.7564635410000001 0.010008996410286793 0.76720466 0.7502837950000001 0.747311575 0.7475106400000001 0.7700070350000001 0.6616842105263159 0.013810951533890354 0.6757894736842105 0.6564210526315789 0.638578947368421 0.6620526315789473 0.6755789473684211 0.6298967265473105 0.044208906872389216 0.6655808903365906 0.6201117318435754 0.547658257031816 0.6632048255966431 0.652927927927928
power-law-random SybilGAT_L8 random "Power Law" "Power Law" 2000 20000 8 8 0.74281954 0.0054122826084583 0.751256935 0.737981035 0.737849495 0.739884215 0.7471260200000001 0.6621473684210526 0.003729406984266227 0.6647894736842105 0.6597368421052632 0.6559473684210526 0.6646315789473685 0.6656315789473685 0.6436506772890416 0.021469369570445547 0.6216810216810217 0.6715105939738835 0.6157192404914467 0.658044434903939 0.6512980953949173
power-law-random SybilRank random "Power Law" "Power Law" 2000 20000 8 8 0.641455618 0.01322295596772734 0.64629229 0.63289895 0.63528368 0.6278192699999999 0.6649839 0.5977684210526316 0.011102673681635691 0.5982631578947368 0.5917894736842105 0.592 0.5878421052631579 0.6189473684210526 0.6000975182748082 0.010838692279228953 0.6002199759074006 0.5940967134184635 0.5945182550475991 0.59074993467468 0.620902712325898
power-law-random SybilBelief random "Power Law" "Power Law" 2000 20000 8 8 0.512951831 0.0019005791719904498 0.51087532 0.5135868299999999 0.514053515 0.51557882 0.51066467 0.5 0.0 0.5 0.5 0.5 0.5 0.5 0.26666666666666666 0.3265986323710904 0.0 0.0 0.0 0.6666666666666666 0.6666666666666666
power-law-random SybilSCAR random "Power Law" "Power Law" 2000 20000 8 8 0.6646646159999999 0.014589983423003038 0.68643817 0.65255931 0.6469194300000001 0.6617675999999999 0.67563857 0.5768105263157894 0.02116806772978446 0.5902631578947368 0.5425263157894736 0.5984736842105263 0.562 0.5907894736842105 0.5491667154848862 0.10051881715183404 0.49510344380310006 0.3814403643609451 0.5783452163820262 0.6398026315789473 0.6511419212994122
power-law-targeted SybilGAT_L2 targeted "Power Law" "Power Law" 2000 20000 8 8 0.6262189159999999 0.014619037865351925 0.6025299000000001 0.6166157299999999 0.6370390850000001 0.63267903 0.6422308349999999 0.5223052631578947 0.01525071725301149 0.5260526315789473 0.5213684210526316 0.5077894736842106 0.5073157894736842 0.549 0.20216974618509848 0.15243624214799203 0.4119375693854895 0.19493626062322947 0.037463976945244955 0.03445074780814853 0.33206017616337985
power-law-targeted SybilGAT_L4 targeted "Power Law" "Power Law" 2000 20000 8 8 0.5604199509999999 0.007733567218569598 0.5549971349999999 0.57106141 0.5522799899999999 0.568432965 0.5553282549999999 0.5146315789473684 0.0069276434497824195 0.5197368421052632 0.5181052631578947 0.5027368421052631 0.5215263157894737 0.5110526315789473 0.5186935552867876 0.061916906773877387 0.613068735953865 0.5421542154215422 0.47668106790738896 0.43042415888728774 0.5311395982638538
power-law-targeted SybilGAT_L8 targeted "Power Law" "Power Law" 2000 20000 8 8 0.468136869 0.03324792389244075 0.503147195 0.44284049000000003 0.427200115 0.4563781900000001 0.5111183549999999 0.4524315789473684 0.024012448295211247 0.47468421052631576 0.42994736842105263 0.42778947368421055 0.4428947368421053 0.4868421052631579 0.3997395676671326 0.041291123518799724 0.4043683236856239 0.3914142833061752 0.3360205203371198 0.4658626431851441 0.4010320678215997
power-law-targeted SybilRank targeted "Power Law" "Power Law" 2000 20000 8 8 0.191736636 0.006489490622582328 0.19600283999999998 0.19196012 0.18190718 0.20078783 0.18802521 0.2462105263157895 0.004212894071098113 0.2498421052631579 0.24552631578947368 0.23878947368421052 0.2506842105263158 0.24621052631578946 0.25778948862694867 0.004044899782147285 0.26177034236287355 0.25659907690712025 0.2508934583311752 0.2619109336927783 0.25777363184079605
power-law-targeted SybilBelief targeted "Power Law" "Power Law" 2000 20000 8 8 0.49212167500000004 0.0008506419599631932 0.49153339500000004 0.4924268 0.49337256500000004 0.490880905 0.49239471 0.5 0.0 0.5 0.5 0.5 0.5 0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
power-law-targeted SybilSCAR targeted "Power Law" "Power Law" 2000 20000 8 8 0.47750227 0.01698707882490332 0.5043677099999999 0.47006005 0.45363931 0.47315064 0.48629363999999997 0.500042105263158 3.9385867229198796e-05 0.5000526315789474 0.5 0.5 0.5000526315789474 0.5001052631578947 0.00016839446449831434 0.00015751267753464805 0.00021050415745710977 0.0 0.0 0.00021050415745710977 0.0004209640075773521
barabasi-albert-random SybilGAT_L2 random "Barabasi Albert" "Barabasi Albert" 2000 20000 8 8 0.7505607700000001 0.005267159922718341 0.75565422 0.75273528 0.749735955 0.740758705 0.75391969 0.5576947368421052 0.05657016235347093 0.5384736842105263 0.6594210526315789 0.5066315789473684 0.5089473684210526 0.575 0.23685453505737505 0.21678388528154532 0.17187647558787422 0.6151192529590198 0.03221143919058435 0.04130702836004932 0.32375847918934764
barabasi-albert-random SybilGAT_L4 random "Barabasi Albert" "Barabasi Albert" 2000 20000 8 8 0.8068067189999999 0.004965633928733978 0.805723605 0.81220094 0.803842685 0.79967857 0.812587795 0.690821052631579 0.031024297510355986 0.6425263157894737 0.7091052631578947 0.7142105263157895 0.6660526315789473 0.7222105263157895 0.6692160343350857 0.08526318118499163 0.5043782837127846 0.6696156375156913 0.7310549777117384 0.7272258286402132 0.7138054440950006
