experiment algorithm attack_edges_type social_network_type AUC AUC_std AUC_0 AUC_1 AUC_2 AUC_3 AUC_4 accuracy accuracy_std accuracy_0 accuracy_1 accuracy_2 accuracy_3 accuracy_4 F1 F1_std F1_0 F1_1 F1_2 F1_3 F1_4
twitter SybilGAT_L2  Twitter 0.8253959762275562 0.005635029933797228 0.8284656933237785 0.8314580545792744 0.8244118594835198 0.8275845259917411 0.815059747759467 0.6309073560578767 0.01630140200707107 0.623662733228947 0.6278754185909081 0.6629621527018158 0.6211011864384527 0.6189352893292603 0.6182173939972151 0.006077404671406406 0.623552419160786 0.6209817646796558 0.620844449257243 0.6193403153331398 0.6063680215552512
twitter SybilGAT_L4  Twitter 0.8489022516314284 0.0049621801339804605 0.8549557387751258 0.8536235714461365 0.8462493906106507 0.8483169020970687 0.8413656552281605 0.6532435127202812 0.00881217465208273 0.6513659146773502 0.6679025586027272 0.6525705534893896 0.65412102459967 0.6402575122322687 0.6432633810980544 0.0073248811069476566 0.6444726924020427 0.6532378967383355 0.6420118209811144 0.6459269480446752 0.6306675473241043
twitter SybilGAT_L8  Twitter 0.7973059631797857 0.022530219311891225 0.8339189510807944 0.7666323063138433 0.8078004844037858 0.7914868565683982 0.786691217532107 0.673892784999185 0.015082618229483888 0.6932530900375266 0.6551161110989516 0.6901071975497703 0.6672326793552708 0.6637548469544058 0.6539252179519719 0.014054583238158338 0.6714234848768786 0.6395062067324631 0.6706073853595015 0.6441065101497302 0.6439825026412856
twitter SybilRank  Twitter 0.7378259064983514 0.00205758227765201 0.7415273008930924 0.7363235869979927 0.7369439883818392 0.7385025639026348 0.735832092316198 0.7036519463585967 0.0033932100996035075 0.7090728575302443 0.700015320974414 0.7041085101728287 0.7050052735460549 0.7000577695694417 0.6536498331383205 0.00442821989830908 0.6608542249822823 0.6493265924349108 0.654249662562886 0.6551523027022602 0.6486663830092633
twitter SybilBelief  Twitter 0.5264043799340508 0.028526036474904922 0.582106988323804 0.5096585668785157 0.5096048212351516 0.5242076028779307 0.5064439203548518 0.7045084765883362 0.01175667143833291 0.7279892231387608 0.6991004399308367 0.6989105228615182 0.697447253598484 0.6990949434120809 0.23108890919298805 0.05810147246614399 0.3417024789889282 0.19249339207048458 0.19363003585741403 0.23782591918857837 0.189792719859535
twitter SybilSCAR  Twitter 0.8022423701970938 0.005438297947569549 0.8089926940767816 0.7988163992992601 0.7954207190538125 0.8083453735481683 0.7996366650074472 0.6711532771635864 0.0011663895319676118 0.6699892406336655 0.6706603339972422 0.6703959746226209 0.6714340106521254 0.6732868259122777 0.05218273001543892 0.008142658956707566 0.06352161447667275 0.042579725636914305 0.044301790086649834 0.051399330343041255 0.05911118953391646
facebook-random SybilGAT_L2 random Facebook 0.7478695252585792 0.019101502718118887 0.7362440204963562 0.7577088326183882 0.7679015441745244 0.7613810563654166 0.7161121726382106 0.634186997739085 0.011790446825695005 0.6227943303442292 0.6519033145172963 0.6305511355417329 0.6436731742588575 0.6220130340333092 0.533645581958322 0.05941191509870445 0.5603506405933918 0.5992334610898183 0.4920445505171042 0.5776482687692835 0.43895098882201206
facebook-random SybilGAT_L4 random Facebook 0.5979527509247694 0.028738482340539735 0.6000490073013842 0.6145415339338298 0.6274023439657872 0.6040861786920052 0.5436846907308402 0.5424289033662706 0.037402491554088715 0.5034712178189181 0.49645390070921985 0.547085201793722 0.5748373101952278 0.590296886314265 0.5065348207618416 0.1077595057335406 0.4501041166106039 0.45255704169944927 0.5868848132999076 0.6716551262005808 0.37147300599866695
facebook-random SybilGAT_L8 random Facebook 0.4474187569194029 0.034799570146045455 0.4576588492568096 0.49596981719224853 0.4680281002259756 0.40488822102470745 0.4105487968972733 0.5552662146326364 0.025405422682070435 0.5901070292160833 0.545520335793892 0.5806451612903226 0.5295733911785973 0.5304851556842868 0.3818182705739269 0.25038050722542243 0.3157894736842105 0.6609803498164544 0.6896477893159191 0.10262068965517242 0.140053050397878
facebook-random SybilRank random Facebook 0.4488596943978971 0.03821733828516891 0.4608254836151272 0.38232451837482495 0.49910713056022926 0.4410564713466594 0.46098486809264466 0.4286327345905409 0.04325503996152566 0.4341914955163437 0.35403097409176437 0.48763199768552 0.4229934924078091 0.4443157132512672 0.4295732846743189 0.04156571786446373 0.4367981572127843 0.3575644162948035 0.4842748980780431 0.4212358572671889 0.4479930945187743
