,variant,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
0,BA-BA,SybilRank,42,0.7994805199999999,0.7172105263157895,0.717187664456373,0.7172631578947368,0.71722540918899,1389,
1,BA-BA,SybilBelief,42,0.51265486,0.5,0.5,1.0,0.6666666666666666,1239,
2,BA-BA,SybilSCAR,42,0.67337782,0.615421052631579,0.5939508182675006,0.7296842105263158,0.6548580605545321,699,
3,BA-BA,SybilGCN_L2_noDropout,42,0.74392551,0.5080526315789474,0.8805970149253731,0.018631578947368423,0.03649108339346459,502,9196.0
4,BA-BA,SybilGCN_L4_noDropout,42,0.7865452500000001,0.6913684210526316,0.7158119658119658,0.6347368421052632,0.67284088373131,549,15085.0
5,BA-BA,SybilGCN_L8_noDropout,42,0.8456787849999999,0.746578947368421,0.7192736122811945,0.8088421052631579,0.7614328890650548,610,28300.0
6,BA-BA,SybilRGCN_L2_noDropout,42,0.59125653,0.4759473684210526,0.4312781954887218,0.15094736842105264,0.22362573099415203,2977,11362.0
7,BA-BA,SybilGAT_L2,42,0.75457524,0.563,0.8006027122049222,0.16778947368421052,0.2774345139674528,585,1793.0
8,BA-BA,SybilGAT_L4,42,0.8125250100000001,0.7074736842105264,0.7797331819472041,0.5783157894736842,0.6640879970989967,776,2031.0
9,BA-BA,SybilGAT_L8,42,0.85855785,0.7527894736842106,0.7146688120139447,0.8415789473684211,0.7729491951467105,1239,1799.0
10,BA-BA,SybilRank,43,0.81873107,0.7323157894736843,0.7321691563223227,0.7326315789473684,0.7324002946437967,1430,
11,BA-BA,SybilBelief,43,0.5131597400000001,0.5,0.5,1.0,0.6666666666666666,1452,
12,BA-BA,SybilSCAR,43,0.68712859,0.6401052631578947,0.631055533674675,0.6746315789473685,0.6521164021164021,674,
13,BA-BA,SybilGCN_L2_noDropout,43,0.74256546,0.5163157894736842,0.8708133971291866,0.03831578947368421,0.07340189554345634,520,9408.0
14,BA-BA,SybilGCN_L4_noDropout,43,0.7895827900000001,0.6957894736842105,0.6876892028254289,0.7173684210526315,0.7022153529108707,543,16201.0
15,BA-BA,SybilGCN_L8_noDropout,43,0.8413597850000001,0.7487368421052631,0.7580821319353429,0.7306315789473684,0.7441037735849056,647,28287.0
16,BA-BA,SybilRGCN_L2_noDropout,43,0.7293954699999999,0.5194210526315789,0.8410351201478743,0.04789473684210526,0.09062842346379843,3045,10732.0
17,BA-BA,SybilGAT_L2,43,0.7474086649999999,0.5252631578947369,0.8614457831325302,0.06021052631578947,0.11255411255411256,619,2762.0
18,BA-BA,SybilGAT_L4,43,0.8134721,0.7221052631578947,0.720066750104297,0.7267368421052631,0.7233864207879296,810,3231.0
19,BA-BA,SybilGAT_L8,43,0.8611324300000001,0.7504736842105263,0.8323788238580807,0.6272631578947369,0.715409088180563,1579,3268.0
20,BA-BA,SybilRank,44,0.8149779899999999,0.7315789473684211,0.73094688221709,0.7329473684210527,0.7319457584358247,1559,
21,BA-BA,SybilBelief,44,0.514223325,0.5,inf,0.0,0.0,1033,
22,BA-BA,SybilSCAR,44,0.66886282,0.5418947368421053,0.5998995983935743,0.25157894736842107,0.3544942153663601,742,
23,BA-BA,SybilGCN_L2_noDropout,44,0.7366695649999999,0.5211052631578947,0.822866344605475,0.053789473684210526,0.10097816421302243,510,11005.0
24,BA-BA,SybilGCN_L4_noDropout,44,0.77811077,0.6622105263157895,0.7582104557640751,0.4763157894736842,0.5850788725109904,544,16082.0
25,BA-BA,SybilGCN_L8_noDropout,44,0.49390000000000006,0.5,inf,0.0,0.0,611,450.0
26,BA-BA,SybilRGCN_L2_noDropout,44,0.62251223,0.5051578947368421,0.5369532428355958,0.07494736842105264,0.13153519305375946,3020,11486.0
27,BA-BA,SybilGAT_L2,44,0.7455410149999999,0.5157368421052632,0.8201284796573876,0.04031578947368421,0.07685361693588844,591,2518.0
28,BA-BA,SybilGAT_L4,44,0.802818165,0.7113684210526315,0.7473515644247352,0.6386315789473684,0.6887274378476558,800,1902.0
29,BA-BA,SybilGAT_L8,44,0.85517106,0.7537368421052631,0.7173775813869601,0.8373684210526315,0.7727427266987226,1299,5028.0
30,BA-BA,SybilRank,45,0.7927245300000001,0.7144736842105263,0.7146770624802444,0.714,0.7143383708072245,1471,
31,BA-BA,SybilBelief,45,0.51395588,0.5,inf,0.0,0.0,1301,
32,BA-BA,SybilSCAR,45,0.6679747500000001,0.593842105263158,0.6393622010317336,0.4305263157894737,0.5145624960684406,849,
33,BA-BA,SybilGCN_L2_noDropout,45,0.7308051799999999,0.5412631578947369,0.8245033112582781,0.10484210526315789,0.18602913709376168,514,9714.0
34,BA-BA,SybilGCN_L4_noDropout,45,0.7775655899999999,0.6837368421052632,0.6542369886012194,0.7793684210526316,0.7113416918864389,571,16576.0
35,BA-BA,SybilGCN_L8_noDropout,45,0.840125595,0.7426315789473684,0.7622894856622667,0.7051578947368421,0.7326115485564304,594,30817.0
36,BA-BA,SybilRGCN_L2_noDropout,45,0.5861595049999999,0.47968421052631577,0.422427652733119,0.11063157894736841,0.175342008675342,3013,10666.0
37,BA-BA,SybilGAT_L2,45,0.7413981,0.5018947368421053,0.95,0.004,0.007966457023060796,604,2277.0
38,BA-BA,SybilGAT_L4,45,0.7996621349999999,0.6793157894736842,0.6293175434601078,0.8726315789473684,0.7312662638380453,791,2260.0
39,BA-BA,SybilGAT_L8,45,0.8553370650000001,0.7530526315789474,0.8075742067553736,0.6644210526315789,0.729036729036729,1209,3197.0
40,BA-BA,SybilRank,46,0.81009705,0.7280526315789474,0.7286060989764693,0.7268421052631578,0.7277230331453866,1797,
41,BA-BA,SybilBelief,46,0.5163233199999999,0.5,inf,0.0,0.0,1291,
42,BA-BA,SybilSCAR,46,0.67253301,0.6133157894736843,0.6473244833721089,0.4978947368421053,0.5628607127982388,857,
43,BA-BA,SybilGCN_L2_noDropout,46,0.73935103,0.5152631578947369,0.8877005347593583,0.03494736842105263,0.06724731618391735,513,9960.0
44,BA-BA,SybilGCN_L4_noDropout,46,0.7812326399999999,0.69,0.6837711260435756,0.7069473684210527,0.6951661318704068,538,14199.0
45,BA-BA,SybilGCN_L8_noDropout,46,0.85148953,0.7577894736842106,0.746527078719549,0.7806315789473685,0.7631985180611299,617,28984.0
46,BA-BA,SybilRGCN_L2_noDropout,46,0.58474362,0.46473684210526317,0.37358490566037733,0.10421052631578948,0.16296296296296298,3154,11208.0
47,BA-BA,SybilGAT_L2,46,0.737685775,0.6542105263157895,0.6332302655511095,0.7329473684210527,0.6794496487119438,613,2588.0
48,BA-BA,SybilGAT_L4,46,0.811907065,0.7223157894736842,0.7204132748904195,0.7266315789473684,0.7235090661356252,782,1702.0
49,BA-BA,SybilGAT_L8,46,0.8655223300000001,0.7638947368421053,0.8217402464065708,0.674,0.7405736756881796,1149,1291.0
50,BA-PL,SybilRank,42,0.6165795,0.5716315789473684,0.5710556541714524,0.5756842105263158,0.5733605912879384,1465,
51,BA-PL,SybilBelief,42,0.52216039,0.5,0.5,1.0,0.6666666666666666,2185,
52,BA-PL,SybilSCAR,42,0.65702855,0.6073684210526316,0.60625,0.6126315789473684,0.6094240837696335,934,
53,BA-PL,SybilGCN_L2_noDropout,42,0.723715035,0.5295263157894737,0.8467243510506799,0.07210526315789474,0.13289358812687943,512,9408.0
54,BA-PL,SybilGCN_L4_noDropout,42,0.7261301950000001,0.6357368421052632,0.6704560475875744,0.5338947368421053,0.5944330501025491,546,16597.0
55,BA-PL,SybilGCN_L8_noDropout,42,0.7073441600000001,0.6355263157894737,0.6558150792690306,0.5704210526315789,0.6101446827675505,631,27594.0
56,BA-PL,SybilRGCN_L2_noDropout,42,0.587296195,0.47226315789473683,0.41664030370136035,0.1386315789473684,0.2080404391438275,3220,11435.0
57,BA-PL,SybilGAT_L2,42,0.740634795,0.6526315789473685,0.6634355275022543,0.619578947368421,0.6407576747224036,867,2837.0
58,BA-PL,SybilGAT_L4,42,0.7583062500000001,0.6613684210526316,0.7333333333333333,0.5071578947368421,0.5996266334785314,861,2272.0
59,BA-PL,SybilGAT_L8,42,0.74125258,0.6626315789473685,0.6911182582879762,0.5881052631578947,0.6354640582347588,1249,3961.0
