,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
0,BA,2000,0.05,0.0,2,SybilRank,42,0.999973,0.9978947368421053,0.9978947368421053,0.9978947368421053,0.9978947368421053,87,
1,BA,2000,0.05,0.0,2,SybilBelief,42,0.999922,0.9973684210526316,0.9968454258675079,0.9978947368421053,0.997369805365597,158,
2,BA,2000,0.05,0.0,2,SybilSCAR,42,0.9940399999999999,0.6010526315789474,1.0,0.20210526315789473,0.3362521891418564,30,
3,BA,2000,0.05,0.0,2,SybilGCN_L2_noDropout,42,0.9731430000000001,0.5068421052631579,1.0,0.01368421052631579,0.02699896157840083,7131,
4,BA,2000,0.05,0.0,2,SybilGCN_L4_noDropout,42,0.999097,0.6978947368421052,1.0,0.3957894736842105,0.5671191553544495,11390,
5,BA,2000,0.05,0.0,2,SybilGCN_L8_noDropout,42,0.999476,0.9673684210526315,1.0,0.9347368421052632,0.9662676822633297,20950,
6,BA,2000,0.05,0.0,2,SybilRGCN_L2_noDropout,42,0.884929,0.511578947368421,0.75,0.034736842105263156,0.06639839034205232,7964,
7,BA,2000,0.05,0.0,2,SybilGAT_L2,42,0.9537160000000001,0.5715789473684211,0.9722222222222222,0.14736842105263157,0.25594149908592323,778,
8,BA,2000,0.05,0.0,2,SybilGAT_L4,42,0.999322,0.9757894736842105,0.9988962472406181,0.9526315789473684,0.9752155172413793,1873,
9,BA,2000,0.05,0.0,2,SybilGAT_L8,42,0.999952,0.9726315789473684,1.0,0.9452631578947368,0.9718614718614719,2491,
10,BA,2000,0.05,0.0,2,SybilRank,43,0.999992,0.9989473684210526,0.9989473684210526,0.9989473684210526,0.9989473684210526,73,
11,BA,2000,0.05,0.0,2,SybilBelief,43,0.999994,0.9989473684210526,0.9989473684210526,0.9989473684210526,0.9989473684210526,106,
12,BA,2000,0.05,0.0,2,SybilSCAR,43,0.98905,0.9389473684210526,0.9056420233463035,0.98,0.9413549039433772,28,
13,BA,2000,0.05,0.0,2,SybilGCN_L2_noDropout,43,0.968542,0.6168421052631579,0.9911504424778761,0.23578947368421052,0.38095238095238093,7213,
14,BA,2000,0.05,0.0,2,SybilGCN_L4_noDropout,43,0.999249,0.94,0.9988066825775657,0.8810526315789474,0.9362416107382551,12226,
15,BA,2000,0.05,0.0,2,SybilGCN_L8_noDropout,43,0.999806,0.97,1.0,0.94,0.9690721649484536,22266,
16,BA,2000,0.05,0.0,2,SybilRGCN_L2_noDropout,43,0.974278,0.5042105263157894,1.0,0.008421052631578947,0.016701461377870562,8286,
17,BA,2000,0.05,0.0,2,SybilGAT_L2,43,0.9698209999999998,0.5036842105263157,1.0,0.007368421052631579,0.014629049111807733,1745,
18,BA,2000,0.05,0.0,2,SybilGAT_L4,43,0.999418,0.8863157894736842,0.998641304347826,0.7736842105263158,0.8718861209964412,2456,
19,BA,2000,0.05,0.0,2,SybilGAT_L8,43,0.9999049999999999,0.9468421052631579,1.0,0.8936842105263157,0.9438576987215119,4775,
20,BA,2000,0.05,0.0,2,SybilRank,44,0.99998,0.9978947368421053,0.9978947368421053,0.9978947368421053,0.9978947368421053,72,
21,BA,2000,0.05,0.0,2,SybilBelief,44,0.9999629999999999,0.9968421052631579,0.9989429175475687,0.9947368421052631,0.9968354430379747,112,
22,BA,2000,0.05,0.0,2,SybilSCAR,44,0.992336,0.9484210526315789,0.9733333333333334,0.9221052631578948,0.947027027027027,29,
23,BA,2000,0.05,0.0,2,SybilGCN_L2_noDropout,44,0.973819,0.5052631578947369,1.0,0.010526315789473684,0.020833333333333332,7456,
24,BA,2000,0.05,0.0,2,SybilGCN_L4_noDropout,44,0.999061,0.8821052631578947,1.0,0.7642105263157895,0.8663484486873508,12582,
25,BA,2000,0.05,0.0,2,SybilGCN_L8_noDropout,44,0.999592,0.9678947368421053,1.0,0.9357894736842105,0.9668297988036977,22576,
26,BA,2000,0.05,0.0,2,SybilRGCN_L2_noDropout,44,0.9361229999999999,0.5,inf,0.0,0.0,8349,
27,BA,2000,0.05,0.0,2,SybilGAT_L2,44,0.963761,0.5157894736842106,1.0,0.031578947368421054,0.061224489795918366,1224,
28,BA,2000,0.05,0.0,2,SybilGAT_L4,44,0.9996280000000001,0.5263157894736842,1.0,0.05263157894736842,0.1,1305,
29,BA,2000,0.05,0.0,2,SybilGAT_L8,44,0.999961,0.9663157894736842,1.0,0.9326315789473684,0.9651416122004357,2764,
30,BA,2000,0.05,0.0,2,SybilRank,45,0.999966,0.9968421052631579,0.9968421052631579,0.9968421052631579,0.9968421052631579,72,
31,BA,2000,0.05,0.0,2,SybilBelief,45,0.999956,0.9963157894736843,0.9957939011566772,0.9968421052631579,0.9963177275118359,118,
