,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
0,PL,1000,0.05,0.0,2,SybilRank,0.9999775999999999,1.5512575543747765e-05,0.9974736842105264,0.0008421052631578885,0.9974736842105264,0.0008421052631578885,0.9974736842105264,0.0008421052631578885,0.9974736842105264,0.0008421052631578885,33.8,0.4,,
1,PL,1000,0.05,0.0,2,SybilBelief,0.9999768,2.5095019426154915e-05,0.9983157894736842,0.0010734777923353239,0.9987394846482498,0.0016784835719553235,0.9978947368421054,0.0018830046126313879,0.9983148983806884,0.001074266518523007,58.0,4.427188724235731,,
2,PL,1000,0.05,0.0,2,SybilSCAR,0.9877920000000001,0.004342223577845837,0.6915789473684211,0.13111750666488672,0.8308935642221741,0.1959965915871459,0.6652631578947368,0.37684563362064755,0.6192900507871489,0.25998138682907423,15.2,0.39999999999999997,,
3,PL,1000,0.05,0.0,2,SybilGCN_L2_noDropout,0.9620735999999999,0.0090923094008068,0.516421052631579,0.009843090296893434,1.0,0.0,0.032842105263157895,0.01968618059378688,0.06290029945002366,0.036485448394766556,5111.0,105.1227853512263,,
4,PL,1000,0.05,0.0,2,SybilGCN_L4_noDropout,0.9981296000000001,0.0006184294947688036,0.7046315789473685,0.051810864217551204,1.0,0.0,0.40926315789473683,0.10362172843510242,0.5729757844450589,0.10707842075656393,8642.2,81.96194238791563,,
5,PL,1000,0.05,0.0,2,SybilGCN_L8_noDropout,0.9994256,0.00021860064043819968,0.8846315789473683,0.10143043411121197,0.9995249406175771,0.000950118764845609,0.7696842105263159,0.20309669108081954,0.8522354057141204,0.15199562107505876,16010.2,208.02442164322918,,
6,PL,1000,0.05,0.0,2,SybilRGCN_L2_noDropout,0.945924,0.03651180788731226,0.5208421052631579,0.009064863217520414,0.990909090909091,0.018181818181818167,0.042105263157894736,0.01815903886555606,0.08019691949258655,0.03311828843394834,5805.6,162.3571372006787,,
7,PL,1000,0.05,0.0,2,SybilGAT_L2,0.9582879999999999,0.022323315739378825,0.5713684210526315,0.0924625251632075,1.0,0.0,0.14273684210526316,0.18492505032641507,0.21150237027289287,0.23725877271119558,1632.6,983.9155654831363,,
8,PL,1000,0.05,0.0,2,SybilGAT_L4,0.9932511999999999,0.006048852532505622,0.6892631578947369,0.08932470569272206,1.0,0.0,0.37852631578947366,0.17864941138544413,0.5251921482275996,0.18605995730609184,1303.8,493.35074744039866,,
9,PL,1000,0.05,0.0,2,SybilGAT_L8,0.9998576,0.00019959318625643229,0.9101052631578949,0.06616892676933858,1.0,0.0,0.8202105263157895,0.13233785353867722,0.8949734224805889,0.08610735712792572,2248.8,464.14583914972246,,
10,PL,1000,0.05,0.0,4,SybilRank,0.9810448,0.006773381028703482,0.9280000000000002,0.01732978158084771,0.9272826183104822,0.01734569901508585,0.928842105263158,0.017278555392575293,0.9280615418672864,0.017307795134664846,37.2,0.4,,
11,PL,1000,0.05,0.0,4,SybilBelief,0.9746736,0.009527876607093469,0.9067368421052631,0.030700771914104724,0.9235618419508913,0.06474298271520171,0.8985263157894737,0.09384279894657567,0.9044664931342101,0.03649524556147073,82.2,0.4,,
12,PL,1000,0.05,0.0,4,SybilSCAR,0.8758071999999999,0.020348227228925847,0.5829473684210525,0.09526263448533154,0.7657132112138678,0.2088316035697046,0.5637894736842105,0.41640040393699423,0.47630130106960394,0.2868392193231843,16.8,0.39999999999999997,,
13,PL,1000,0.05,0.0,4,SybilGCN_L2_noDropout,0.8800224,0.018629530896938917,0.5109473684210526,0.006266474133110423,1.0,0.0,0.021894736842105265,0.012532948266220813,0.04255966049874803,0.023777025776964403,5757.0,134.34731110074367,,
14,PL,1000,0.05,0.0,4,SybilGCN_L4_noDropout,0.9369256,0.011797918894449163,0.6656842105263158,0.08039128685852764,0.9832228017055484,0.01800335644983369,0.34021052631578946,0.1711494786562943,0.48080041377310057,0.17657516004719181,9842.4,153.0367276179153,,
15,PL,1000,0.05,0.0,4,SybilGCN_L8_noDropout,0.9343920000000001,0.012133008728258642,0.8058947368421053,0.046960111558239766,0.928648108335512,0.06847065072198404,0.6808421052631578,0.16099193902842765,0.7681073142287715,0.08188424568999081,12078.4,7494.5359722934145,,
16,PL,1000,0.05,0.0,4,SybilRGCN_L2_noDropout,0.8739352,0.026160758814682716,0.512842105263158,0.011519464438151127,0.9498412698412698,0.08674047673873302,0.02694736842105263,0.023344701095796394,0.05142321884317017,0.04306925343974575,6055.8,198.4252000124984,,
17,PL,1000,0.05,0.0,4,SybilGAT_L2,0.8837831999999999,0.030192006931636792,0.5183157894736843,0.018263688753091645,1.0,0.0,0.03663157894736842,0.036527377506183276,0.06835192461761205,0.06592789258976374,2114.2,1261.6602395256816,,
18,PL,1000,0.05,0.0,4,SybilGAT_L4,0.9544552,0.016637401220142515,0.6846315789473685,0.06486329113910366,0.9829458021682889,0.018936663021820215,0.3768421052631579,0.1332483570395508,0.5300117537961044,0.14564659777049316,1424.0,375.8999866985898,,
