,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
0,PL,1000,0.05,0.0,2,SybilRank,42,0.999992,0.9978947368421053,0.9978947368421053,0.9978947368421053,0.9978947368421053,34,
1,PL,1000,0.05,0.0,2,SybilBelief,42,0.999984,0.9978947368421053,1.0,0.9957894736842106,0.9978902953586498,63,
2,PL,1000,0.05,0.0,2,SybilSCAR,42,0.985936,0.5494736842105263,1.0,0.09894736842105263,0.18007662835249041,16,
3,PL,1000,0.05,0.0,2,SybilGCN_L2_noDropout,42,0.956344,0.5042105263157894,1.0,0.008421052631578947,0.016701461377870562,5278,
4,PL,1000,0.05,0.0,2,SybilGCN_L4_noDropout,42,0.998856,0.6210526315789474,1.0,0.24210526315789474,0.3898305084745763,8793,
5,PL,1000,0.05,0.0,2,SybilGCN_L8_noDropout,42,0.999256,0.9694736842105263,1.0,0.9389473684210526,0.9685124864277959,15827,
6,PL,1000,0.05,0.0,2,SybilRGCN_L2_noDropout,42,0.877584,0.5210526315789473,0.9545454545454546,0.04421052631578947,0.08450704225352113,5689,
7,PL,1000,0.05,0.0,2,SybilGAT_L2,42,0.9243640000000001,0.5168421052631579,1.0,0.03368421052631579,0.06517311608961303,502,
8,PL,1000,0.05,0.0,2,SybilGAT_L4,42,0.9987440000000001,0.6157894736842106,1.0,0.23157894736842105,0.37606837606837606,892,
9,PL,1000,0.05,0.0,2,SybilGAT_L8,42,0.9999399999999999,0.9715789473684211,1.0,0.9431578947368421,0.9707475622968581,2300,
10,PL,1000,0.05,0.0,2,SybilRank,43,0.999948,0.9957894736842106,0.9957894736842106,0.9957894736842106,0.9957894736842106,34,
11,PL,1000,0.05,0.0,2,SybilBelief,43,0.999928,0.9968421052631579,0.9978902953586498,0.9957894736842106,0.9968387776606955,58,
12,PL,1000,0.05,0.0,2,SybilSCAR,43,0.991172,0.6894736842105263,0.6171875,0.9978947368421053,0.7626709573612228,15,
