,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
0,PL,2000,0.05,0.0,2,SybilRank,42,0.999939,0.9957894736842106,0.9957894736842106,0.9957894736842106,0.9957894736842106,73,
1,PL,2000,0.05,0.0,2,SybilBelief,42,0.999973,0.9989473684210526,1.0,0.9978947368421053,0.9989462592202318,128,
2,PL,2000,0.05,0.0,2,SybilSCAR,42,0.9878899999999999,0.9410526315789474,0.9761363636363637,0.9042105263157895,0.9387978142076503,29,
3,PL,2000,0.05,0.0,2,SybilGCN_L2_noDropout,42,0.9602380000000001,0.5231578947368422,1.0,0.04631578947368421,0.08853118712273642,8310,
4,PL,2000,0.05,0.0,2,SybilGCN_L4_noDropout,42,0.9971599999999999,0.7578947368421053,1.0,0.5157894736842106,0.6805555555555556,13411,
5,PL,2000,0.05,0.0,2,SybilGCN_L8_noDropout,42,0.999288,0.8842105263157894,1.0,0.7684210526315789,0.8690476190476191,24365,
6,PL,2000,0.05,0.0,2,SybilRGCN_L2_noDropout,42,0.9203209999999998,0.5184210526315789,0.972972972972973,0.037894736842105266,0.0729483282674772,8568,
7,PL,2000,0.05,0.0,2,SybilGAT_L2,42,0.9440335,0.5152631578947369,1.0,0.030526315789473683,0.059244126659857,823,
8,PL,2000,0.05,0.0,2,SybilGAT_L4,42,0.997153,0.7131578947368421,1.0,0.4263157894736842,0.5977859778597786,1865,
9,PL,2000,0.05,0.0,2,SybilGAT_L8,42,0.9988589999999999,0.8410526315789474,0.9984615384615385,0.6831578947368421,0.81125,3385,
10,PL,2000,0.05,0.0,2,SybilRank,43,0.99996,0.9978947368421053,0.9978947368421053,0.9978947368421053,0.9978947368421053,72,
11,PL,2000,0.05,0.0,2,SybilBelief,43,0.999951,0.9952631578947368,0.9926701570680628,0.9978947368421053,0.9952755905511811,127,
12,PL,2000,0.05,0.0,2,SybilSCAR,43,0.9764170000000001,0.8868421052631579,0.9657794676806084,0.8021052631578948,0.8763657274295572,29,
13,PL,2000,0.05,0.0,2,SybilGCN_L2_noDropout,43,0.95551,0.51,1.0,0.02,0.0392156862745098,7638,
14,PL,2000,0.05,0.0,2,SybilGCN_L4_noDropout,43,0.9969819999999999,0.6942105263157895,1.0,0.38842105263157894,0.5595147839272175,13224,
15,PL,2000,0.05,0.0,2,SybilGCN_L8_noDropout,43,0.9992000000000001,0.8573684210526316,1.0,0.7147368421052631,0.8336402701043585,24193,
16,PL,2000,0.05,0.0,2,SybilRGCN_L2_noDropout,43,0.9578595,0.5005263157894737,1.0,0.0010526315789473684,0.002103049421661409,8450,
17,PL,2000,0.05,0.0,2,SybilGAT_L2,43,0.9741525,0.5321052631578947,1.0,0.06421052631578947,0.12067260138476756,5973,
18,PL,2000,0.05,0.0,2,SybilGAT_L4,43,0.9891790000000001,0.7626315789473684,0.9882583170254403,0.531578947368421,0.6913073237508556,3513,
19,PL,2000,0.05,0.0,2,SybilGAT_L8,43,0.9999129999999999,0.8510526315789474,1.0,0.7021052631578948,0.8249845392702535,2848,
20,PL,2000,0.05,0.0,2,SybilRank,44,0.999972,0.9957894736842106,0.9957894736842106,0.9957894736842106,0.9957894736842106,72,
21,PL,2000,0.05,0.0,2,SybilBelief,44,0.999979,0.998421052631579,0.9989462592202318,0.9978947368421053,0.9984202211690363,121,
22,PL,2000,0.05,0.0,2,SybilSCAR,44,0.989633,0.8531578947368421,0.9897810218978103,0.7136842105263158,0.8293577981651377,29,
23,PL,2000,0.05,0.0,2,SybilGCN_L2_noDropout,44,0.963333,0.5242105263157895,1.0,0.04842105263157895,0.09236947791164658,7706,
24,PL,2000,0.05,0.0,2,SybilGCN_L4_noDropout,44,0.998335,0.6931578947368421,1.0,0.3863157894736842,0.5573272589217919,14259,
25,PL,2000,0.05,0.0,2,SybilGCN_L8_noDropout,44,0.999449,0.94,1.0,0.88,0.9361702127659575,24366,
26,PL,2000,0.05,0.0,2,SybilRGCN_L2_noDropout,44,0.9586549999999999,0.5010526315789474,1.0,0.002105263157894737,0.004201680672268907,8772,
27,PL,2000,0.05,0.0,2,SybilGAT_L2,44,0.9691430000000001,0.5026315789473684,1.0,0.005263157894736842,0.010471204188481676,2170,
28,PL,2000,0.05,0.0,2,SybilGAT_L4,44,0.998501,0.7889473684210526,1.0,0.5778947368421052,0.7324883255503669,2121,
29,PL,2000,0.05,0.0,2,SybilGAT_L8,44,0.999969,0.8836842105263157,1.0,0.7673684210526316,0.8683740321620012,2378,
30,PL,2000,0.05,0.0,2,SybilRank,45,0.999921,0.9957894736842106,0.9957894736842106,0.9957894736842106,0.9957894736842106,71,
31,PL,2000,0.05,0.0,2,SybilBelief,45,0.999995,0.9989473684210526,1.0,0.9978947368421053,0.9989462592202318,112,
32,PL,2000,0.05,0.0,2,SybilSCAR,45,0.987227,0.6815789473684211,0.6109324758842444,1.0,0.7584830339321357,96,
33,PL,2000,0.05,0.0,2,SybilGCN_L2_noDropout,45,0.9512310000000002,0.511578947368421,1.0,0.023157894736842106,0.04526748971193416,8860,
34,PL,2000,0.05,0.0,2,SybilGCN_L4_noDropout,45,0.9940180000000001,0.7305263157894737,1.0,0.4610526315789474,0.6311239193083573,13929,
35,PL,2000,0.05,0.0,2,SybilGCN_L8_noDropout,45,0.998361,0.9705263157894737,0.9922907488986784,0.9484210526315789,0.9698600645855759,25546,
36,PL,2000,0.05,0.0,2,SybilRGCN_L2_noDropout,45,0.892286,0.5057894736842106,1.0,0.011578947368421053,0.022892819979188347,9007,
37,PL,2000,0.05,0.0,2,SybilGAT_L2,45,0.958396,0.533157894736842,1.0,0.06631578947368422,0.12438302073050346,1533,
38,PL,2000,0.05,0.0,2,SybilGAT_L4,45,0.990311,0.6105263157894737,1.0,0.22105263157894736,0.3620689655172414,3456,
39,PL,2000,0.05,0.0,2,SybilGAT_L8,45,0.999958,0.9194736842105263,1.0,0.8389473684210527,0.9124212936462507,3628,
