,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
0,PL,2000,0.005,0.0,2,SybilRank,42,0.999465,0.9909547738693467,0.9909547738693467,0.9909547738693467,0.9909547738693467,74,
1,PL,2000,0.005,0.0,2,SybilBelief,42,0.9999920000000001,0.9984924623115577,0.9979919678714859,0.9989949748743718,0.9984932194876946,132,
2,PL,2000,0.005,0.0,2,SybilSCAR,42,0.95662,0.7753768844221105,0.6954350927246791,0.9798994974874372,0.8135168961201502,28,
3,PL,2000,0.005,0.0,2,SybilGCN_L2_noDropout,42,0.8146769999999999,0.5,inf,0.0,0.0,6474,
4,PL,2000,0.005,0.0,2,SybilGCN_L4_noDropout,42,0.955226,0.5,inf,0.0,0.0,10818,
5,PL,2000,0.005,0.0,2,SybilGCN_L8_noDropout,42,0.99753,0.6663316582914572,1.0,0.3326633165829146,0.49924585218702866,20900,
6,PL,2000,0.005,0.0,2,SybilRGCN_L2_noDropout,42,0.816412,0.5,inf,0.0,0.0,6026,
7,PL,2000,0.005,0.0,2,SybilGAT_L2,42,0.7987584999999999,0.5,inf,0.0,0.0,3438,
8,PL,2000,0.005,0.0,2,SybilGAT_L4,42,0.944077,0.5005025125628141,1.0,0.0010050251256281408,0.002008032128514056,1739,
9,PL,2000,0.005,0.0,2,SybilGAT_L8,42,0.998551,0.5849246231155779,1.0,0.16984924623115577,0.29037800687285226,1056,
10,PL,2000,0.005,0.0,2,SybilRank,43,0.999549,0.9909547738693467,0.9909547738693467,0.9909547738693467,0.9909547738693467,72,
11,PL,2000,0.005,0.0,2,SybilBelief,43,0.999962,0.9954773869346734,0.993,0.9979899497487437,0.9954887218045113,139,
12,PL,2000,0.005,0.0,2,SybilSCAR,43,0.904668,0.7170854271356784,0.9122137404580153,0.48040201005025124,0.6293614219881501,28,
13,PL,2000,0.005,0.0,2,SybilGCN_L2_noDropout,43,0.751128,0.5,inf,0.0,0.0,7042,
14,PL,2000,0.005,0.0,2,SybilGCN_L4_noDropout,43,0.9011595,0.5005025125628141,1.0,0.0010050251256281408,0.002008032128514056,13210,
15,PL,2000,0.005,0.0,2,SybilGCN_L8_noDropout,43,0.996614,0.5562814070351759,1.0,0.11256281407035176,0.2023486901535682,28538,
16,PL,2000,0.005,0.0,2,SybilRGCN_L2_noDropout,43,0.750894,0.5,inf,0.0,0.0,6871,
17,PL,2000,0.005,0.0,2,SybilGAT_L2,43,0.7566285,0.5,inf,0.0,0.0,5050,
18,PL,2000,0.005,0.0,2,SybilGAT_L4,43,0.864133,0.5005025125628141,1.0,0.0010050251256281408,0.002008032128514056,3725,
19,PL,2000,0.005,0.0,2,SybilGAT_L8,43,0.995573,0.5015075376884423,1.0,0.003015075376884422,0.006012024048096192,2536,
20,PL,2000,0.005,0.0,2,SybilRank,44,0.9998309999999999,0.992964824120603,0.992964824120603,0.992964824120603,0.992964824120603,76,
21,PL,2000,0.005,0.0,2,SybilBelief,44,0.999976,0.9979899497487437,0.9979899497487437,0.9979899497487437,0.9979899497487437,162,
22,PL,2000,0.005,0.0,2,SybilSCAR,44,0.9364899999999999,0.714572864321608,0.9366053169734151,0.46030150753768845,0.6172506738544474,30,
23,PL,2000,0.005,0.0,2,SybilGCN_L2_noDropout,44,0.7908385000000001,0.5,inf,0.0,0.0,7621,
24,PL,2000,0.005,0.0,2,SybilGCN_L4_noDropout,44,0.936869,0.5010050251256282,1.0,0.0020100502512562816,0.004012036108324975,13290,
25,PL,2000,0.005,0.0,2,SybilGCN_L8_noDropout,44,0.815779,0.5025125628140703,1.0,0.005025125628140704,0.01,558,
26,PL,2000,0.005,0.0,2,SybilRGCN_L2_noDropout,44,0.792542,0.5,inf,0.0,0.0,6701,
27,PL,2000,0.005,0.0,2,SybilGAT_L2,44,0.7983375,0.5,inf,0.0,0.0,3342,
28,PL,2000,0.005,0.0,2,SybilGAT_L4,44,0.910612,0.5005025125628141,1.0,0.0010050251256281408,0.002008032128514056,1853,
29,PL,2000,0.005,0.0,2,SybilGAT_L8,44,0.9987619999999999,0.5095477386934674,1.0,0.019095477386934675,0.03747534516765286,1148,
30,PL,2000,0.005,0.0,2,SybilRank,45,0.999888,0.9939698492462311,0.9939698492462311,0.9939698492462311,0.9939698492462311,73,
31,PL,2000,0.005,0.0,2,SybilBelief,45,0.999995,0.9989949748743718,1.0,0.9979899497487437,0.9989939637826962,121,
32,PL,2000,0.005,0.0,2,SybilSCAR,45,0.908758,0.8075376884422111,0.9238227146814404,0.6703517587939698,0.7769365171811299,29,
33,PL,2000,0.005,0.0,2,SybilGCN_L2_noDropout,45,0.7497665,0.5,inf,0.0,0.0,8263,
34,PL,2000,0.005,0.0,2,SybilGCN_L4_noDropout,45,0.909541,0.5125628140703518,1.0,0.02512562814070352,0.049019607843137254,12804,
35,PL,2000,0.005,0.0,2,SybilGCN_L8_noDropout,45,0.9963299999999999,0.6145728643216081,1.0,0.22914572864321608,0.37285363859362225,22413,
36,PL,2000,0.005,0.0,2,SybilRGCN_L2_noDropout,45,0.74914,0.5,inf,0.0,0.0,6804,
37,PL,2000,0.005,0.0,2,SybilGAT_L2,45,0.739275,0.5,0.5,0.0010050251256281408,0.0020060180541624875,3981,
38,PL,2000,0.005,0.0,2,SybilGAT_L4,45,0.8699525,0.5110552763819095,1.0,0.022110552763819097,0.043264503441494594,2117,
39,PL,2000,0.005,0.0,2,SybilGAT_L8,45,0.992291,0.5688442211055277,1.0,0.13768844221105528,0.2420494699646643,5190,
40,PL,2000,0.005,0.0,2,SybilRank,46,0.99978,0.9909547738693467,0.9909547738693467,0.9909547738693467,0.9909547738693467,75,
41,PL,2000,0.005,0.0,2,SybilBelief,46,0.999977,0.9974874371859297,0.9979879275653923,0.9969849246231156,0.9974861739567622,158,
42,PL,2000,0.005,0.0,2,SybilSCAR,46,0.931267,0.5185929648241207,0.5095508518327311,0.9919597989949749,0.6732605729877217,30,
43,PL,2000,0.005,0.0,2,SybilGCN_L2_noDropout,46,0.765582,0.5,inf,0.0,0.0,7187,
44,PL,2000,0.005,0.0,2,SybilGCN_L4_noDropout,46,0.9281130000000001,0.5015075376884423,1.0,0.003015075376884422,0.006012024048096192,12981,
45,PL,2000,0.005,0.0,2,SybilGCN_L8_noDropout,46,0.9743029999999999,0.528643216080402,1.0,0.05728643216080402,0.10836501901140684,24142,
46,PL,2000,0.005,0.0,2,SybilRGCN_L2_noDropout,46,0.7765245,0.5,inf,0.0,0.0,7658,
47,PL,2000,0.005,0.0,2,SybilGAT_L2,46,0.76366,0.5005025125628141,0.6666666666666666,0.0020100502512562816,0.004008016032064128,6237,
48,PL,2000,0.005,0.0,2,SybilGAT_L4,46,0.9024035,0.5020100502512563,1.0,0.004020100502512563,0.008008008008008008,2769,
49,PL,2000,0.005,0.0,2,SybilGAT_L8,46,0.994095,0.5291457286432161,1.0,0.05829145728643216,0.11016144349477683,4582,
50,PL,2000,0.005,0.0,4,SybilRank,42,0.868127,0.7919597989949749,0.7913741223671013,0.792964824120603,0.7921686746987951,81,
51,PL,2000,0.005,0.0,4,SybilBelief,42,0.9842399999999999,0.9422110552763819,0.9222648752399232,0.9658291457286432,0.9435444280805105,167,
52,PL,2000,0.005,0.0,4,SybilSCAR,42,0.78008,0.5904522613065326,0.5540216086434574,0.9276381909547738,0.6937241638481774,33,
53,PL,2000,0.005,0.0,4,SybilGCN_L2_noDropout,42,0.7051675000000001,0.5,inf,0.0,0.0,7985,
54,PL,2000,0.005,0.0,4,SybilGCN_L4_noDropout,42,0.80724,0.5,inf,0.0,0.0,14429,
55,PL,2000,0.005,0.0,4,SybilGCN_L8_noDropout,42,0.8873279999999999,0.5422110552763819,0.9666666666666667,0.08743718592964825,0.16036866359447005,26005,
56,PL,2000,0.005,0.0,4,SybilRGCN_L2_noDropout,42,0.706902,0.5,inf,0.0,0.0,6837,
57,PL,2000,0.005,0.0,4,SybilGAT_L2,42,0.6821365,0.5,inf,0.0,0.0,6794,
58,PL,2000,0.005,0.0,4,SybilGAT_L4,42,0.781029,0.5,inf,0.0,0.0,2424,
59,PL,2000,0.005,0.0,4,SybilGAT_L8,42,0.9131250000000001,0.5090452261306533,1.0,0.018090452261306532,0.035538005923000986,804,
60,PL,2000,0.005,0.0,4,SybilRank,43,0.9039079999999999,0.8321608040201005,0.831494483450351,0.8331658291457287,0.8323293172690763,81,
61,PL,2000,0.005,0.0,4,SybilBelief,43,0.978509,0.9376884422110553,0.9207729468599034,0.9577889447236181,0.9389162561576355,167,
62,PL,2000,0.005,0.0,4,SybilSCAR,43,0.7060569999999999,0.5804020100502513,0.6769911504424779,0.3075376884422111,0.4229440221147201,36,
63,PL,2000,0.005,0.0,4,SybilGCN_L2_noDropout,43,0.651188,0.5,inf,0.0,0.0,9078,
64,PL,2000,0.005,0.0,4,SybilGCN_L4_noDropout,43,0.737295,0.5005025125628141,1.0,0.0010050251256281408,0.002008032128514056,14134,
65,PL,2000,0.005,0.0,4,SybilGCN_L8_noDropout,43,0.828322,0.5020100502512563,1.0,0.004020100502512563,0.008008008008008008,25441,
66,PL,2000,0.005,0.0,4,SybilRGCN_L2_noDropout,43,0.6533909999999999,0.5,inf,0.0,0.0,7382,
67,PL,2000,0.005,0.0,4,SybilGAT_L2,43,0.652012,0.5,inf,0.0,0.0,2102,
68,PL,2000,0.005,0.0,4,SybilGAT_L4,43,0.7246489999999999,0.5015075376884423,1.0,0.003015075376884422,0.006012024048096192,2231,
69,PL,2000,0.005,0.0,4,SybilGAT_L8,43,0.8575275,0.5025125628140703,1.0,0.005025125628140704,0.01,956,
70,PL,2000,0.005,0.0,4,SybilRank,44,0.912558,0.8241206030150754,0.8234704112337011,0.8251256281407036,0.8242971887550201,87,
71,PL,2000,0.005,0.0,4,SybilBelief,44,0.9762,0.9256281407035176,0.9796149490373726,0.8693467336683417,0.9211927582534611,171,
72,PL,2000,0.005,0.0,4,SybilSCAR,44,0.7227669999999999,0.5663316582914573,0.7129032258064516,0.2221105527638191,0.33869731800766284,33,
73,PL,2000,0.005,0.0,4,SybilGCN_L2_noDropout,44,0.6685505,0.5,inf,0.0,0.0,8474,
74,PL,2000,0.005,0.0,4,SybilGCN_L4_noDropout,44,0.759757,0.5005025125628141,1.0,0.0010050251256281408,0.002008032128514056,14773,
75,PL,2000,0.005,0.0,4,SybilGCN_L8_noDropout,44,0.28465199999999996,0.5,inf,0.0,0.0,373,
76,PL,2000,0.005,0.0,4,SybilRGCN_L2_noDropout,44,0.6704475,0.5,inf,0.0,0.0,7043,
77,PL,2000,0.005,0.0,4,SybilGAT_L2,44,0.6829565,0.5,inf,0.0,0.0,4826,
78,PL,2000,0.005,0.0,4,SybilGAT_L4,44,0.7361335,0.5,inf,0.0,0.0,2472,
79,PL,2000,0.005,0.0,4,SybilGAT_L8,44,0.8885325000000001,0.5206030150753769,1.0,0.04120603015075377,0.07915057915057915,1496,
80,PL,2000,0.005,0.0,4,SybilRank,45,0.9004939999999999,0.8180904522613065,0.8180904522613065,0.8180904522613065,0.8180904522613065,83,
81,PL,2000,0.005,0.0,4,SybilBelief,45,0.506035,0.5,inf,0.0,0.0,165,
82,PL,2000,0.005,0.0,4,SybilSCAR,45,0.6807810000000001,0.58643216080402,0.7018779342723005,0.3005025125628141,0.42083040112596765,116,
83,PL,2000,0.005,0.0,4,SybilGCN_L2_noDropout,45,0.654239,0.5,inf,0.0,0.0,8651,
84,PL,2000,0.005,0.0,4,SybilGCN_L4_noDropout,45,0.717674,0.5010050251256282,1.0,0.0020100502512562816,0.004012036108324975,14475,
85,PL,2000,0.005,0.0,4,SybilGCN_L8_noDropout,45,0.7440199999999999,0.5135678391959799,1.0,0.027135678391959798,0.05283757338551859,28667,
86,PL,2000,0.005,0.0,4,SybilRGCN_L2_noDropout,45,0.6595605,0.5,inf,0.0,0.0,7969,
87,PL,2000,0.005,0.0,4,SybilGAT_L2,45,0.6443015,0.5,inf,0.0,0.0,4695,
88,PL,2000,0.005,0.0,4,SybilGAT_L4,45,0.694738,0.5035175879396985,1.0,0.007035175879396985,0.013972055888223553,2524,
89,PL,2000,0.005,0.0,4,SybilGAT_L8,45,0.7956825000000001,0.578894472361809,0.9109947643979057,0.1748743718592965,0.2934232715008432,1404,
90,PL,2000,0.005,0.0,4,SybilRank,46,0.9113760000000001,0.8291457286432161,0.8291457286432161,0.8291457286432161,0.8291457286432161,84,
91,PL,2000,0.005,0.0,4,SybilBelief,46,0.500487,0.5,0.5,1.0,0.6666666666666666,95,
92,PL,2000,0.005,0.0,4,SybilSCAR,46,0.719262,0.5085427135678392,0.5043837029396596,0.9829145728643216,0.6666666666666666,33,
93,PL,2000,0.005,0.0,4,SybilGCN_L2_noDropout,46,0.6535925,0.5,inf,0.0,0.0,9518,
94,PL,2000,0.005,0.0,4,SybilGCN_L4_noDropout,46,0.748955,0.5015075376884423,1.0,0.003015075376884422,0.006012024048096192,14584,
95,PL,2000,0.005,0.0,4,SybilGCN_L8_noDropout,46,0.74656,0.5080402010050251,0.8333333333333334,0.020100502512562814,0.03925417075564279,5827,
96,PL,2000,0.005,0.0,4,SybilRGCN_L2_noDropout,46,0.636448,0.5,inf,0.0,0.0,9026,
97,PL,2000,0.005,0.0,4,SybilGAT_L2,46,0.6285695,0.5040201005025126,0.7222222222222222,0.01306532663316583,0.02566633761105627,3900,
98,PL,2000,0.005,0.0,4,SybilGAT_L4,46,0.7456195,0.5015075376884423,1.0,0.003015075376884422,0.006012024048096192,2331,
99,PL,2000,0.005,0.0,4,SybilGAT_L8,46,0.8766040000000002,0.5251256281407035,1.0,0.05025125628140704,0.09569377990430622,2008,
100,PL,2000,0.005,0.0,6,SybilRank,42,0.648905,0.5979899497487438,0.5977933801404213,0.5989949748743718,0.5983935742971888,90,
101,PL,2000,0.005,0.0,6,SybilBelief,42,0.496031,0.5,0.5,1.0,0.6666666666666666,106,
102,PL,2000,0.005,0.0,6,SybilSCAR,42,0.6676279999999999,0.5432160804020101,0.5238359201773836,0.949748743718593,0.6752411575562701,37,
103,PL,2000,0.005,0.0,6,SybilGCN_L2_noDropout,42,0.6411610000000001,0.5,inf,0.0,0.0,9624,
104,PL,2000,0.005,0.0,6,SybilGCN_L4_noDropout,42,0.693537,0.5,inf,0.0,0.0,16014,
105,PL,2000,0.005,0.0,6,SybilGCN_L8_noDropout,42,0.6387245,0.5341708542713568,0.6954022988505747,0.12160804020100502,0.20701454234388367,27539,
106,PL,2000,0.005,0.0,6,SybilRGCN_L2_noDropout,42,0.6408325,0.5,inf,0.0,0.0,7446,
107,PL,2000,0.005,0.0,6,SybilGAT_L2,42,0.6205864999999999,0.5,inf,0.0,0.0,5777,
108,PL,2000,0.005,0.0,6,SybilGAT_L4,42,0.678739,0.5015075376884423,1.0,0.003015075376884422,0.006012024048096192,3595,
109,PL,2000,0.005,0.0,6,SybilGAT_L8,42,0.741587,0.5457286432160804,0.8823529411764706,0.10552763819095477,0.18850987432675045,1368,
110,PL,2000,0.005,0.0,6,SybilRank,43,0.6974580000000001,0.6452261306532663,0.6449348044132397,0.6462311557788945,0.6455823293172691,89,
111,PL,2000,0.005,0.0,6,SybilBelief,43,0.501368,0.5,0.5,1.0,0.6666666666666666,119,
112,PL,2000,0.005,0.0,6,SybilSCAR,43,0.608105,0.5723618090452262,0.5952380952380952,0.45226130653266333,0.5139920045688178,39,
113,PL,2000,0.005,0.0,6,SybilGCN_L2_noDropout,43,0.5978319999999999,0.5,inf,0.0,0.0,8926,
114,PL,2000,0.005,0.0,6,SybilGCN_L4_noDropout,43,0.6330455,0.5,inf,0.0,0.0,15893,
115,PL,2000,0.005,0.0,6,SybilGCN_L8_noDropout,43,0.661442,0.5025125628140703,1.0,0.005025125628140704,0.01,28290,
116,PL,2000,0.005,0.0,6,SybilRGCN_L2_noDropout,43,0.6026539999999999,0.5,inf,0.0,0.0,7845,
117,PL,2000,0.005,0.0,6,SybilGAT_L2,43,0.5888694999999999,0.5,inf,0.0,0.0,4046,
118,PL,2000,0.005,0.0,6,SybilGAT_L4,43,0.592758,0.5010050251256282,1.0,0.0020100502512562816,0.004012036108324975,3496,
119,PL,2000,0.005,0.0,6,SybilGAT_L8,43,0.6728175000000001,0.5015075376884423,0.8,0.004020100502512563,0.008,1478,
120,PL,2000,0.005,0.0,6,SybilRank,44,0.682843,0.6412060301507537,0.6409227683049148,0.6422110552763819,0.641566265060241,91,
121,PL,2000,0.005,0.0,6,SybilBelief,44,0.5064365000000001,0.5,inf,0.0,0.0,95,
122,PL,2000,0.005,0.0,6,SybilSCAR,44,0.630285,0.5185929648241207,0.6094674556213018,0.1035175879396985,0.17697594501718214,38,
123,PL,2000,0.005,0.0,6,SybilGCN_L2_noDropout,44,0.6161725,0.5,inf,0.0,0.0,9100,
