,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
0,SybilRank,0.7378259064983514,0.00205758227765201,0.7036519463585967,0.0033932100996035075,0.5364730064760865,0.004534474053107818,0.8363301828257235,0.003677077758086978,0.6536498331383205,0.00442821989830908,19710.8,611.1482307918432,,
1,SybilBelief,0.5264043799340508,0.028526036474904922,0.7045084765883362,0.01175667143833291,0.8871490550035339,0.06863876723707646,0.13445640968953848,0.03976294948049836,0.23108890919298805,0.05810147246614399,63553.0,77937.73937445196,,
2,SybilSCAR,0.8022423701970938,0.005438297947569549,0.6711532771635864,0.0011663895319676118,0.7183454279630803,0.006875555946193291,0.027098110870476654,0.004379510713019205,0.05218273001543892,0.008142658956707566,15197.2,2220.3346954907497,,
3,SybilGCN-L2,0.8023149190417401,0.0010158902544127571,0.5137726262634594,0.007854019534151031,0.40307762267169095,0.00410057308043122,0.943700854385721,0.006146760938798411,0.5648493015982498,0.0030610796262285052,6241.4,124.94734891145148,211060.8,174828.8681109616
4,SybilGCN-L4,0.7960240760910683,0.003117512322001378,0.6147691674975044,0.018594007785800025,0.4576094037307853,0.012902982360281708,0.8039159743515679,0.0299659252365103,0.5826671964704783,0.004253416351704256,6502.8,66.76046734408021,416767.2,354107.66545636934
5,SybilGCN-L8,0.7021970865507334,0.0035149219688268164,0.6957785838088572,0.01629870026500838,0.5471146485047862,0.025502345223956932,0.543873272171709,0.014048529101539885,0.5447839428111079,0.007222733072466497,7125.8,98.15783208689972,484024.6,101992.89290259394
6,SybilRGCN-L2,0.6237163782993255,0.04459571355016826,0.43395423004778316,0.018806368038726574,0.36283119600490604,0.011587213841374963,0.9172350704165645,0.046264717672954904,0.519865482482919,0.01829954779308915,32761.0,791.4826593173094,192744.0,84128.05112446145
7,SybilGAT-L2,0.8211436080724178,0.0051487353859979495,0.6080694186708382,0.009217924035264804,0.45697914620145513,0.007487245551356199,0.9125219766855068,0.00972858655445433,0.6089443017956865,0.007408686209416522,7381.4,177.92762573585924,220234.2,185319.45659363453
8,SybilGAT-L4,0.8423845423891599,0.007318596404747981,0.666210380288105,0.008505401213475896,0.5006008926095211,0.00776671446180784,0.9182209352951827,0.014904025109240191,0.6478570967917768,0.006644529458038483,10351.2,682.2156257372004,66853.2,13940.268453656121
9,SybilGAT-L8,0.7936714090929546,0.014519703545162353,0.6637440329174751,0.007727461200213431,0.4985230885160112,0.006883425659995653,0.9291569232198377,0.009798885645815054,0.6488731417271646,0.007443093527409808,67897.0,105296.78633652595,289000.4,347858.6021524263
