,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
0,SybilRank,42,0.7415273008930924,0.7090728575302443,0.5443039037828394,0.840917643089779,0.6608542249822823,20807,
1,SybilBelief,42,0.582106988323804,0.7279892231387608,0.9272706382489803,0.20944113563522648,0.3417024789889282,25632,
2,SybilSCAR,42,0.8089926940767816,0.6699892406336655,0.7303082191780822,0.03320487368134221,0.06352161447667275,18732,
3,SybilGCN-L2,42,0.8035285701116746,0.522940193668594,0.4093732834240346,0.9380149739836765,0.5699890401886034,6479,109775.0
4,SybilGCN-L4,42,0.8000759297808084,0.6096668095417209,0.45636126479947253,0.8262550767513981,0.5879713202738701,6556,200657.0
5,SybilGCN-L8,42,0.7047835995500948,0.6915429631119936,0.5413401749153228,0.5557891185591758,0.5484695020839869,7193,420307.0
6,SybilRGCN-L2,42,0.5937019403274105,0.4264601684759314,0.3650320532023246,0.9486939935380903,0.5272084194131073,34250,132181.0
7,SybilGAT-L2,42,0.8290435137805658,0.624611831803987,0.4709560212964866,0.9216785394526841,0.6233797007328097,7701,55923.0
8,SybilGAT-L4,42,0.8565008436382198,0.6748921876503469,0.5098244883004174,0.9208091660503198,0.65628410246925,10640,59726.0
9,SybilGAT-L8,42,0.8115018812303493,0.6686290118003132,0.5045670903113192,0.9339535728651692,0.6551761803766646,15520,67239.0
10,SybilRank,43,0.7363235869979927,0.700015320974414,0.5323270799073733,0.8322446088462144,0.6493265924349108,19805,
11,SybilBelief,43,0.5096585668785157,0.6991004399308367,0.9217009787377658,0.10746891232488588,0.19249339207048458,24460,
12,SybilSCAR,43,0.7988163992992601,0.6706603339972422,0.7131287297527706,0.021945012854819246,0.042579725636914305,16241,
13,SybilGCN-L2,43,0.8018861797023696,0.5174024382236424,0.4041754712196771,0.9408547143082009,0.5654451499994088,6171,118193.0
14,SybilGCN-L4,43,0.7932202019724224,0.5907242443476548,0.4405059800778961,0.8382129177816254,0.5775120763123529,6563,197812.0
15,SybilGCN-L8,43,0.7031037803512287,0.7051456586924643,0.5611516737842678,0.53431449708799,0.547404351390214,7282,389611.0
16,SybilRGCN-L2,43,0.5555624600502722,0.4024688655912802,0.3403785338566911,0.8428695104674957,0.4849273820170027,32858,133564.0
17,SybilGAT-L2,43,0.819258606257023,0.6084309133489462,0.45659485023646873,0.91180019938087,0.6084840420875716,7434,70780.0
