,attack,attack_edges_per_sybil,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
0,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilRank,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,105.0,2.6832815729997477,,
1,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilBelief,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,88.2,49.41012042082067,,
2,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilSCAR,0.9999792,2.473378256555897e-05,0.984842105263158,0.019253089114300924,0.9993704092339979,0.0012591815320042166,0.9703157894736842,0.03896955271466641,0.984213580532219,0.02027001260327978,46.6,2.4166091947189146,,
3,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGCN-L2,0.9986298,0.000583368631312995,0.5245263157894736,0.014335126259483943,1.0,0.0,0.04905263157894737,0.028670252518967897,0.09212998216922313,0.05079811358423369,10227.2,451.6323283379966,,
4,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGCN-L4,1.0,0.0,0.9031578947368422,0.04638511557998344,1.0,0.0,0.8063157894736841,0.09277023115996688,0.8898935743728031,0.05614716225484794,16666.2,869.0729313469612,,
5,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGCN-L8,1.0,0.0,0.9776842105263158,0.011466439045175743,1.0,0.0,0.9553684210526316,0.022932878090351553,0.9770334394093251,0.012057915009160083,30519.6,1403.2471770860614,,
6,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilRGCN-L2,0.992043,0.01187948152067249,0.5771578947368421,0.10285163991786916,inf,,0.15473684210526314,0.20562397437206853,0.2200169653364407,0.2705266249760136,10472.4,295.72460161440745,,
7,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGAT-L2,0.9976606,0.0010313741513146232,0.6812631578947368,0.1672447739226315,1.0,0.0,0.3625263157894737,0.3344895478452631,0.4469345179578584,0.347951859230952,2110.4,742.8508867868437,,
8,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGAT-L4,1.0,0.0,0.8611578947368421,0.07595260221963113,1.0,0.0,0.7223157894736841,0.15190520443926228,0.8300490148299934,0.099379759240957,3475.8,1127.2095457367277,,
9,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGAT-L8,1.0,0.0,0.9569473684210527,0.04683607294096993,1.0,0.0,0.9138947368421052,0.09367214588193985,0.9523377012364472,0.054633777551474534,3831.2,353.9375086085113,,
10,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",4,SybilRank,0.9999882,6.013318551337453e-06,0.999157894736842,0.0002578410255561357,0.9997894736842106,0.0004210526315789665,0.9985263157894737,0.000515682051112217,0.9991573401948415,0.00025806782959304607,113.6,2.0591260281974,,
11,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",4,SybilBelief,0.9999646,5.746860012215863e-05,0.9993684210526315,0.0005156820511122306,0.9991587802313354,0.0007868890403310028,0.999578947368421,0.0005156820511122714,0.9993686424843885,0.0005153882117863528,122.8,16.216041440499588,,
