,attack,attack_edges_per_sybil,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
0,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilRank,42,1.0,1.0,1.0,1.0,1.0,104,
1,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilBelief,42,1.0,1.0,1.0,1.0,1.0,62,
2,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilSCAR,42,1.0,0.998421052631579,0.9968520461699895,1.0,0.9984235417761429,45,
3,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGCN-L2,42,0.999422,0.5136842105263157,1.0,0.02736842105263158,0.05327868852459016,9354,
4,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGCN-L4,42,1.0,0.8984210526315789,1.0,0.7968421052631579,0.8869361452841242,15133,
5,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGCN-L8,42,1.0,0.9589473684210527,1.0,0.9178947368421052,0.9571899012074643,28507,
6,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilRGCN-L2,42,0.993715,0.6036842105263158,0.9949748743718593,0.20842105263157895,0.34464751958224543,10124,
7,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGAT-L2,42,0.9986700000000001,0.5694736842105264,1.0,0.13894736842105262,0.24399260628465805,984,
8,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGAT-L4,42,1.0,0.8405263157894737,1.0,0.6810526315789474,0.8102692548528491,5048,
9,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGAT-L8,42,1.0,0.9752631578947368,1.0,0.9505263157894737,0.974635725849973,4456,
10,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilRank,43,1.0,1.0,1.0,1.0,1.0,102,
11,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilBelief,43,1.0,1.0,1.0,1.0,1.0,63,
12,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilSCAR,43,1.0,0.9989473684210526,1.0,0.9978947368421053,0.9989462592202318,45,
13,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGCN-L2,43,0.999103,0.5257894736842105,1.0,0.05157894736842105,0.0980980980980981,10465,
14,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGCN-L4,43,1.0,0.978421052631579,1.0,0.9568421052631579,0.9779451317912856,16496,
15,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",2,SybilGCN-L8,43,1.0,0.9894736842105263,1.0,0.9789473684210527,0.9893617021276596,29152,
